"Intrebare pacient","Raspunsuri pacient","Intrebare clinica","Raspuns clinic"
"","","",""
"--- ANAMNEZA GENERALA ---","","",""
"De cât timp ai simptomele?","Sub 2 săptămâni | 2–6 săptămâni | 6 săptămâni – 3 luni | 3–12 luni | Peste 1 an","Durata simptome","Sub 2 sapt. | 2–6 sapt. | 6 sapt.–3 luni | 3–12 luni | Peste 1 an"
"Cum au apărut simptomele?","Brusc, după un eveniment clar (cădere, accident, mișcare bruscă) | După efort repetitiv / suprasolicitare | Treptat, fără un motiv clar | Am mai avut episoade similare în trecut","Debut","Brusc dupa trauma | Suprasolicitare | Debut progresiv | Episoade recurente"
"Evoluția în timp:","Se ameliorează treptat | Este stabilă | Se agravează lent | Se agravează rapid în ultimele săptămâni","Evolutie","Ameliorare treptata | Stabil | Agravare lenta | Agravare rapidă"
"Cât de intensă este durerea, în medie?","0–2 (ușoară) | 3–5 (moderată) | 6–8 (mare) | 9–10 (foarte severă)","Intens. durere","0–2 | 3–5 | 6–8 | 9–10"
"Durerea este:","Doar la mișcare / efort | Și la mișcare, și în repaus | Constantă, inclusiv noaptea | Mă trezește frecvent din somn","Tip durere","La miscare | Miscare si repaus | Constanta | Nocturna"
"Dimineața, zona afectată este:","Fara redoare matinala | Rigidă sub 30 minute | Rigidă peste 30–60 minute | Rigidă peste 1 oră","Redoare mat.","Fara redoare | Sub 30 min | 30–60 min | Peste 1h"
"Ai senzații de: (poți bifa mai multe)","Amorțeală | Furnicături | Slăbiciune clară | Fara amorteli, furnicaturi sau slabiciune","Senz. asociate","Amorteala | Furnicaturi | Slabiciune | Fara simptome neurologice"
"Din cauza problemei actuale:","Pot face aproape toate activitățile normale | Evit anumite mișcări / activități | Mi-am redus semnificativ activitatea | Nu pot face activități uzuale (mers, urcat scări, ridicat obiecte)","Impact funct.","Limitări minime | Evit anumite activitati | Activitate redusa | Activitati uzuale imposibile"
"Problema îți afectează: (poți bifa mai multe)","Somnul | Mersul | Munca | Sportul | Fara impact functional semnificativ","Act. afectate","Somnul | Mersul | Munca | Sportul | Fara impact semnificativ"
"În ultimele luni ai avut: (poți bifa mai multe)","Scădere în greutate neintenționate | Febră inexplicabilă | Transpirații nocturne persistente | Istoric personal de cancer | Fara semne de alarma","Semne alarma","Scadere in greutate | Febra | Transpiratii nocturne | Istoric cancer | Fara semne de alarma"
"Ai avut recent: (poți bifa mai multe)","Traumatism major (accident, cădere serioasă) | Slăbiciune progresivă accentuată | Probleme noi cu controlul urinei sau scaunului | Fara evenimente recente relevante","Evenim. recente","Traumatism major | Slabiciune progresiva | Tulburari sfincteriene | Fara evenimente recente"
"Ce ai încercat până acum? (poți bifa mai multe)","Antiinflamatoare / analgezice | Fizioterapie / kinetoterapie | Infiltrații | Repaus | Fara tratament anterior","Tr. anterior","Antiinflamatoare | Fizioterapie | Infiltratii | Repaus | Fara tratament anterior"
"Tratamentul a fost:","Clar eficient | Parțial eficient | Fără efect | Nu pot aprecia","Eficienta tr.","Eff | Partial eff. | Fara efect | Nu poate aprecia"
